category,best_overall_threshold,ba_mean,ba_std,n
BATHROOM,0.3,0.51886105,0.01984835,21
BIRD,0.3,0.51653707,0.01811952,28
BODY,0.3,0.50838516,0.01199412,64
CLOTHING,0.3,0.50669349,0.01377892,47
DESSERT,0.3,0.52543165,0.02833912,20
DRINK,0.3,0.53166354,0.02290174,16
ELECTRONIC,0.3,0.53243704,0.03480982,19
FAMILY,0.3,0.51991017,0.01419629,34
FRUIT,0.3,0.52783286,0.02304566,28
FURNITURE,0.3,0.52434795,0.02333002,28
HOUSEHOLD,0.3,0.51504164,0.02026025,32
INSECT,0.3,0.5287564,0.02427828,18
INSTRUMENT,0.3,0.55132891,0.0382059,16
KITCHEN,0.3,0.51756551,0.01977892,29
MAMMAL,0.3,0.50975409,0.01528636,74
MEAT,0.3,0.54038472,0.02901692,18
MONTH,0.3,0.53896989,0.02625181,12
NUMBER,0.3,0.51170799,0.01647373,22
PLANT,0.3,0.53530155,0.02730918,16
SHAPE,0.3,0.5625137,0.03949745,13
SPACE,0.3,0.53179365,0.02874886,15
SPORT,0.3,0.58914159,0.05447764,7
TIMES,0.3,0.54765957,0.02659874,10
TOOL,0.3,0.51107662,0.01681775,27
TOY,0.3,0.51050395,0.01610254,31
VEGETABLE,0.3,0.52246491,0.02156447,22
VEHICLE,0.3,0.51349343,0.01524689,36
WEATHER,0.3,0.55844002,0.03231435,12
